epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,892.699,0.5583,1.04737,0.98839,0.94218,0.98747,0.995,0.93962,0.3506,1.36422,0.89869,0.00018575,0.00018575,0.00018575
88,902.798,0.53761,1.09952,1.03446,0.9412,0.98579,0.995,0.95124,0.3477,1.3457,0.896,0.000173375,0.000173375,0.000173375
89,912.901,0.62238,1.13595,1.02495,0.9412,0.98579,0.995,0.95124,0.3477,1.3457,0.896,0.000161,0.000161,0.000161
90,923.213,0.55033,0.98548,0.97981,0.94395,0.98509,0.995,0.94703,0.34207,1.32219,0.89358,0.000148625,0.000148625,0.000148625
91,933.334,0.45781,1.59692,1.16627,0.94395,0.98509,0.995,0.94703,0.34207,1.32219,0.89358,0.00013625,0.00013625,0.00013625
92,943.732,0.41796,1.44856,0.98168,0.96824,0.95032,0.995,0.93862,0.33555,1.32256,0.88307,0.000123875,0.000123875,0.000123875
93,953.875,0.41259,1.31191,0.88205,0.96824,0.95032,0.995,0.93862,0.33555,1.32256,0.88307,0.0001115,0.0001115,0.0001115
94,964.052,0.51954,3.53122,0.98794,0.97612,0.93604,0.995,0.94361,0.33553,1.33385,0.87729,9.9125e-05,9.9125e-05,9.9125e-05
95,974.201,0.37155,2.07142,0.97286,0.97612,0.93604,0.995,0.94361,0.33553,1.33385,0.87729,8.675e-05,8.675e-05,8.675e-05
96,984.367,0.48394,1.68807,1.01946,0.9742,0.93317,0.995,0.94703,0.33108,1.33908,0.87369,7.4375e-05,7.4375e-05,7.4375e-05
97,994.491,0.41373,1.64166,1.03978,0.9742,0.93317,0.995,0.94703,0.33108,1.33908,0.87369,6.2e-05,6.2e-05,6.2e-05
98,1004.7,0.32549,1.40578,0.95704,0.97378,0.93181,0.995,0.95689,0.32787,1.3347,0.87253,4.9625e-05,4.9625e-05,4.9625e-05
99,1014.81,0.48642,1.52495,1.04846,0.97378,0.93181,0.995,0.95689,0.32787,1.3347,0.87253,3.725e-05,3.725e-05,3.725e-05
100,1024.93,0.31832,1.57335,0.94906,0.97289,0.93198,0.995,0.95806,0.32549,1.33169,0.87168,2.4875e-05,2.4875e-05,2.4875e-05
